Limonka - Owoce,Cytryny,1,kg
Pigwa - Owoc,Pigwa,1,kg
Trawa cytrynowa - Palczatka cytrynowa,Trawa cytrynowa,0.1,szt.
Imbir - Bio korzeń,"Imbir, Cynamon",1,szt.
Imbir - Korzeń tacka,"Imbir, Cynamon",0.25,szt.
Imbir - Korzeń,"Imbir, Cynamon",1,kg
Cynamon - opakowanie,"Imbir, Cynamon",0.125,szt.
Kurkuma - Bio korzeń,Kurkuma,0.15,szt.
Kurkuma - Korzeń,Kurkuma,0.2,szt.
Melon - Zielony,Melon,1,kg
Melon - Miodowy,Melon,1,kg
Awokado - Owoce,Awokado,1,szt.
Awokado - Bio owoce odmiana Hass,Awokado,1,szt.
Awokado - Owoce odmiana Hass,Awokado,1,szt.
Awokado - Owoce,Awokado,1,szt.
Awokado - Bio owoce odmiana Hass,Awokado,2,szt.
Awokado - Owoce odmiana Hass,Awokado,0.7,szt.
Borówki - Owoce odmiana amerykańska,Borówki i jagody,0.125,szt.
Borówki - Owoce odmiana amerykańska,Borówki i jagody,0.25,szt.
Borówka - Amerykańska premium,Borówki i jagody,0.5,szt.
Maliny - Owoce,Maliny i jeżyny,0.125,szt.
FreshWorld - Truskawki,Truskawki,0.25,szt.
Arbuz - Mini bezpestkowy,Arbuz,1,kg
Ananas - Kaliber 12. średni,Ananasy,1,szt.
Ananas - Premium żółty duży ,Ananasy,1,szt.
Mango - Owoce,Mango,1,szt.
Mango - Owoce RTE ,Mango,1,szt.
Granat - Owoce średni kaliber,Granat,1,szt.
Granat - Owoce duży kaliber,Granat,1,szt.
Daktyle - Świeże,Daktyle,0.25,szt.
Daktyle - Złota Palma,Daktyle,0.5,szt.
Figa - Owoc,Figi,1,szt.
Karambola - Owoce,Granadilla,1,szt.
Kokos - orzech w łupinie,Kokos,1,kg
Kokos - Młody obrany,Kokos,1,szt.
Marakuja - Owoce,Maracuja,3,szt.
Papaja - Świeża,Papaja,1,kg
MIechunka - Peruwiańska,Physalis,1,szt.
Aloes - liść sztuka,"Liście Kafiru, Aloes",1,szt.
Liście Kafiru - egzotyczne,"Liście Kafiru, Aloes",0.05,szt.
Ziemniaki - Słodkie Bataty,Słodkie ziemniaki,1,kg
Bataty - Bio Słodkie ziemniaki,Słodkie ziemniaki,0.5,szt.
Mix - Świeżych owoców,Freshbox,1,szt.
Pewni Dobrego - Jabłka Golden Delicious,Jabłka,4,szt.
Gruszki - Owoce,Gruszka,1,kg
Winogrona - Jasne,Winogrono,1,kg
Arvit - Dynia na zupę,Dynia,0.8,szt.
FreshWorld - Pomidorki cherry,Pomidory,0.25,szt.
Family Organics - Pomidor Cherry BIO,Pomidory,0.25,szt.
Pomidor - Podłużny Roma,Pomidory,0.5,szt.
FreshWorld - Pomidory cherry czerwone podłużne,Pomidory,0.25,szt.
Pomidory - Drobne,Pomidory,1,kg
Auchan - Pomidor Sugarino  ,Pomidory,0.5,szt.
Pomidory - Malinowe,Pomidory,1,szt.
Pomidory - Warzywo,Pomidory,1,kg
Pomidor - Malinowy luz,Pomidory,1,kg
